DATE,TIME,LOCATION,LAT,LONG,ID,SPECIES,SEX,SUBSTRATE TYPE,SUBSTRATE TEMP,PERCH HEIGHT (cm),PERCH WIDTH (cm),WEIGHT (g),SVL (mm),OTHER SP. PRESENT,NOTES
12/13/2018,0.625,Red Road Canal,25.67417,-80.28389,BV022,Basilisk,F,Ground,,0m,,13.19,76.71,,
2/15/2019,0.604166667,72 ST/ 821 Canal,25.70202,-80.38422,BV023,Basilisk,Juv,Grass by canal,,0,,9.66,70.36,,
2/20/2019,0.541666667,Tamiami Park,25.74688,-80.37618,BV024,Basilisk,Juv,Limestone rock by canal,,,,4.74,58.3,,
2/20/2019,0.558333333,Tree Island Park,25.74671,-80.43027,BV025,Basilisk,Juv,On road by canal,,,,2.98,48.45,,
2/20/2019,0.572916667,The Pit BBQ,25.76034,-80.4618,BV026,Basilisk,F,Vegetation,,0.5,,36.29,111.28,,
2/20/2019,0.583333333, Krome Ave Canal,25.76086,-80.49772,BV027,Basilisk,Juv,Veg by canal,,,,6.18,62.62,,
1/18/2019,0.5625,Bill Sadowski Park,25.60880,-80.31977,BV028,Basilisk,Juv,Vegetation/Rock,,0.5,,10.07,73.8,,
2/22/2019,0.529861111,Matheson Canal,25.66440,-80.27697,BV029,Basilisk,F,Canal,,,,31.85,102.08,,
2/22/2019,0.546527778,Coral Pine Park Canal,25.67431,-80.30927,BV030,Basilisk,Juv,Canal/concrete,,,,2.44,49.98,,
2/22/2019,0.5625,St.Louis Covenant School Canal,25.65976,-80.31029,BV031,Basilisk,Juv,Sidewalk by canal,,,,2.18,50.04,,
2/23/2019,0.604166667,Lake Mahar,25.77681,-80.30671,BV032,Basilisk,M,Mangrove by water,,,,8.62,81.34,,
2/23/2019,0.625,Blue Lagoon,25.78344,-80.28069,BV033,Basilisk,Juv,Tree by water,,,,7.31,68.32,,
2/23/2019,0.65625,Northwest Dr. Canal,25.77225,-80.31473,BV034,Basilisk,Juv,Grass by canal,,,,5.92,67.02,,
2/23/2019,0.666666667,826 Canal,25.79368,-80.32066,BV035,Basilisk,Juv,Concrete by canal,,,,8.92,72.01,,
2/24/2019,0.529166667,By snapper creek park,25.69753,-80.35782,BV036,Basilisk,Juv,Veg by canal,,,,6.17,65.09,,
2/28/2019,0.5,64th St canal,25.71113,-80.29938,BV037,Basilisk,M,Veg by canal,,,,14.66,84.3,,
3/12/2019,10:40,By Lakes by the Bay,25.56399,-80.3317,BV038,Basilisk,F,Canal,,,,57.34,129.01,,
3/12/2019,11:54,Black Point Park,25.54042,-80.32801,BV039,Basilisk,F,Mangrove,,,,58.15,122.23,,
3/14/2019,12:03,Canal/Ingram highway ENP,25.40815,-80.52384,BV040,Basilisk,F,Grass by canal,,,,31.68,103.75,,
3/14/2019,13:05,Card Sound USGS,25.43340,-80.47297,BV041,Basilisk,F,Vegetation,,,,37.12,107.78,,
3/21/2019,13:02,Coral Reef Park,25.62982,-80.31763,BV042,Basilisk,M,Vegetation by canal,,,,9.08,66.95,,
4/8/2019,14:30,Toys R Us/ 117 Ave,25.68811,-80.38339,BV043,Basilisk,M,grass,,,,26.5,93.69,,
4/11/2019,10:15,Mandarin Lakes K-8 Academy (by homestead airbase),25.50678,-80.38891,BV044,Basilisk,M,,,,,8.91,84.56,,
4/18/2019,12:05,Ludlam Rd Canal in Doral,25.83191,-80.3059,BV045,Basilisk,F,,,,,26.82,99.42,,
4/23/2019,12:55,42 st/ 162 Ave,25.72788,-80.456,BV046,Basilisk,M,Plant by canal,,,,25.75,97.71,,
